Station,Year,Latitude_DD,Longitude_DD,turbidity_mean,turbidity_sd
6_6,2016,59.161,-152.117,0.4077684981684982,0.2082657610506279
6_6,2017,59.161,-152.117,0.26613461538461536,0.07423377562571752
6_7,2016,59.147,-152.172,0.39073375,0.13724858393954395
6_7,2017,59.147,-152.172,0.28244732142857143,0.09637563704683896
6_8,2016,59.132,-152.227,0.3978132958801498,0.12482062894461766
6_8,2017,59.132,-152.227,0.2814683333333333,0.04002015875084177
6_9,2016,59.118,-152.282,0.42213510204081633,0.4971153186880005
6_9,2017,59.118,-152.282,0.2710111111111111,0.055450686040620624
7_1,2016,59.35,-153.302,2.457315254237288,1.7083906750378848
7_1,2017,59.35,-153.302,0.9934,0.13310738729208135
7_10,2016,59.333,-152.782,0.43142027972027974,0.1037046860550687
7_10,2017,59.333,-152.782,0.3161909090909091,0.08039421487077908
7_11,2016,59.332,-152.717,0.42376434108527133,0.12717289707228405
7_11,2017,59.332,-152.717,0.36135942028985507,0.015128180937658149
7_12,2016,59.33,-152.652,0.40318939393939396,0.14060990716703792
7_12,2017,59.33,-152.652,0.34794225352112673,0.13183357545673347
7_13,2016,59.327,-152.585,0.418825641025641,0.18752133173084978
7_13,2017,59.327,-152.585,0.2872757142857143,0.01098583324518888
7_14,2016,59.325,-152.52,0.41700873015873013,0.18410192742927653
7_14,2017,59.325,-152.52,0.26859014084507044,0.01514688232824146
7_15,2016,59.323,-152.455,0.4136511111111111,0.2749857613319704
7_15,2017,59.323,-152.455,0.25272957746478875,0.017150213612715456
7_16,2016,59.32,-152.39,0.3818210843373494,0.1431476952090587
7_16,2017,59.32,-152.39,0.24425,0.014893939856345751
7_17,2016,59.318,-152.325,0.39283454545454544,0.14093918107733366
7_17,2017,59.318,-152.325,0.32391882352941176,0.7275810970171604
7_18,2016,59.317,-152.26,0.3976761589403974,0.12211341815902639
7_18,2017,59.317,-152.26,0.2451448717948718,0.0971443251478176
7_19,2016,59.315,-152.196,0.466693665158371,0.24720737385231878
7_19,2017,59.315,-152.196,0.3324904411764706,0.08606796528728218
7_2,2016,59.348,-153.268,1.6166267441860465,1.0245501764676357
7_2,2017,59.348,-153.268,0.7475613636363636,0.19885817806704295
7_20,2016,59.313,-152.13,0.4697588607594937,0.11074516529186909
7_20,2017,59.313,-152.13,0.3555805194805195,0.09003986123652725
7_21,2016,59.312,-152.097,0.49872,0.4918600902103245
7_21,2017,59.312,-152.097,0.32632099999999997,0.08933803940890542
7_22,2016,59.31,-152.065,0.4616798561151079,0.1898114057063248
7_22,2017,59.31,-152.065,0.3302080291970803,0.5684118318585765
7_23,2016,59.31,-152.032,0.5792676767676768,0.4309469676706723
7_23,2017,59.31,-152.032,0.33150103092783506,0.1261378491099828
7_24,2016,59.308,-152,0.3253526315789474,0.015509508496440817
7_3,2016,59.348,-153.237,1.145229213483146,0.4204371426920511
7_3,2017,59.348,-153.237,0.7202787234042554,0.056108214295041994
7_4,2016,59.347,-153.172,0.7528852631578947,0.30192380114096457
7_4,2017,59.347,-153.172,0.7608076923076923,0.03852141673811221
7_5,2016,59.343,-153.107,0.6081077669902912,0.15836609899732787
7_5,2017,59.343,-153.107,0.7645490566037736,0.1359856505759134
7_6,2016,59.342,-153.042,0.48945181818181815,0.13797379935549536
7_6,2017,59.342,-153.042,0.7253070175438596,0.06678436210149243
7_7,2016,59.34,-152.977,0.45966315789473683,0.34026125757924375
7_7,2017,59.34,-152.977,0.7798,0.2496621778540904
7_8,2016,59.338,-152.912,0.40647272727272726,0.12555460019944312
7_8,2017,59.338,-152.912,0.447744,0.0415081504207469
7_9,2016,59.335,-152.847,0.42634384615384613,0.10567088882366017
7_9,2017,59.335,-152.847,0.33682597402597403,0.032981707061392786
9_1,2016,59.5702,-151.3572,1.1163480737018425,0.7470482893323814
9_1,2017,59.5702,-151.3572,1.0108438622754492,0.41866813281468623
9_10,2016,59.596,-151.4038,1.3084641379310344,0.659253853541597
9_10,2017,59.596,-151.4038,1.1667382352941176,0.4438317359702717
9_2,2016,59.5718,-151.3624,1.0648869872701556,0.6631549081976923
9_2,2017,59.5718,-151.3624,0.9785904589371981,0.45388642584134387
9_3,2016,59.5745,-151.3688,1.013988063063063,0.5746153517945747
9_3,2017,59.5745,-151.3688,0.9516996116504854,0.47455236959341957
9_4,2016,59.5766,-151.3734,0.9785494915254237,0.5754986460432308
9_4,2017,59.5766,-151.3734,0.8973579181494662,0.4291805637850294
9_5,2016,59.5794,-151.3794,0.991943870967742,0.64967625363914006
9_5,2017,59.5794,-151.3794,0.857,0.41052237713534145
9_6,2016,59.5824,-151.385,0.8955174629324547,0.5452600215988576
9_6,2017,59.5824,-151.385,0.9209861767279091,0.5001399986337237
9_7,2016,59.5858,-151.3896,1.0038055187637969,0.5683507185182648
9_7,2017,59.5858,-151.3896,0.960531781557744,0.5303712642147933
9_8,2016,59.5892,-151.3944,1.1627189557321227,0.7626670329965872
9_8,2017,59.5892,-151.3944,0.9735109962406016,0.4396409038393035
9_9,2016,59.5925,-151.3992,1.350836939313984,1.1706192603782097
